"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
347202,5,,4,,91,,5,,90,,4,,86,,5,,86,,88,,189,,25,,
347204,Not Available,9,Not Available,9,95,9,Not Available,9,95,9,Not Available,9,96,9,Not Available,9,91,9,91,9,9,9,26,9,9
347206,4,,4,,89,,4,,87,,3,,82,,4,,83,,78,,371,,17,,
347210,5,,5,,93,,5,,91,,5,,91,,5,,92,,88,,290,,30,,
347211,4,,4,,89,,4,,89,,4,,83,,5,,89,,81,,312,,29,,
347212,3,,2,,84,,2,,78,,3,,79,,3,,77,,69,,155,,23,,
347215,5,,4,,90,,5,,88,,5,,89,,5,,91,,77,,91,,29,,
347217,5,,5,,93,,5,,89,,4,,86,,5,,87,,83,,246,,30,,
347218,5,11,4,11,90,11,4,11,84,11,5,11,90,11,5,11,86,11,87,11,56,11,26,11,11
347219,5,11,5,11,92,11,5,11,91,11,5,11,96,11,5,11,96,11,85,11,57,11,28,11,11
347220,5,,4,,91,,5,,90,,4,,85,,5,,87,,83,,166,,23,,
347222,3,11,3,11,88,11,3,11,83,11,4,11,85,11,2,11,77,11,75,11,40,11,19,11,11
347223,4,,4,,89,,4,,86,,4,,86,,4,,84,,82,,370,,21,,
347224,4,,4,,89,,4,,88,,3,,81,,4,,86,,81,,315,,22,,
347225,4,,4,,90,,5,,89,,4,,84,,4,,85,,83,,301,,29,,
347226,5,,5,,93,,5,,90,,5,,90,,5,,93,,84,,114,,19,,
347227,Not Available,9,Not Available,9,74,9,Not Available,9,100,9,Not Available,9,50,9,Not Available,9,100,9,100,9,1,9,3,9,9
347228,5,11,5,11,90,11,5,11,90,11,5,11,89,11,5,11,93,11,93,11,69,11,22,11,11
347230,5,,5,,93,,5,,91,,4,,83,,5,,88,,87,,364,,33,,
347231,4,,3,,86,,4,,85,,4,,85,,4,,83,,75,,195,,20,,
347232,3,,3,,87,,2,,82,,3,,79,,2,,80,,75,,134,,26,,
347233,4,11,4,11,90,11,4,11,86,11,2,11,76,11,4,11,83,11,74,11,48,11,37,11,11
347234,4,,5,,91,,4,,90,,3,,81,,5,,89,,79,,330,,28,,
347235,5,,5,,90,,4,,88,,5,,87,,5,,86,,82,,378,,25,,
347236,Not Available,9,Not Available,9,93,9,Not Available,9,68,9,Not Available,9,64,9,Not Available,9,66,9,40,9,7,9,23,9,9
347237,4,,4,,90,,3,,87,,3,,81,,4,,86,,81,,209,,22,,
347239,5,,4,,90,,4,,89,,5,,87,,5,,87,,79,,178,,31,,
347241,5,,4,,90,,5,,90,,4,,83,,5,,88,,86,,138,,27,,
347242,Not Available,11,Not Available,11,81,11,Not Available,11,82,11,Not Available,11,75,11,Not Available,11,79,11,65,11,21,11,27,11,11
347243,4,,4,,90,,4,,87,,4,,83,,4,,83,,83,,421,,23,,
347244,4,,3,,87,,3,,84,,4,,83,,4,,88,,78,,105,,14,,
347245,5,11,5,11,95,11,5,11,92,11,5,11,92,11,5,11,90,11,90,11,42,11,19,11,11
347246,5,,5,,94,,5,,96,,4,,84,,5,,95,,91,,174,,32,,
347247,4,,4,,89,,5,,88,,4,,85,,4,,83,,79,,294,,31,,
347248,5,,5,,90,,5,,88,,5,,87,,4,,86,,82,,172,,20,,
347249,Not Available,11,Not Available,11,92,11,Not Available,11,77,11,Not Available,11,87,11,Not Available,11,79,11,84,11,17,11,33,11,11
347250,5,11,5,11,92,11,4,11,86,11,5,11,87,11,5,11,88,11,82,11,65,11,23,11,11
347251,4,,5,,90,,5,,87,,2,,71,,4,,80,,76,,70,,25,,
347252,4,,3,,88,,3,,84,,4,,85,,4,,89,,80,,191,,15,,
347253,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347254,5,,5,,94,,5,,92,,5,,91,,5,,93,,88,,326,,23,,
347255,Not Available,11,Not Available,11,92,11,Not Available,11,90,11,Not Available,11,97,11,Not Available,11,89,11,82,11,22,11,34,11,11
347256,Not Available,11,Not Available,11,97,11,Not Available,11,99,11,Not Available,11,95,11,Not Available,11,98,11,89,11,30,11,27,11,11
347257,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347258,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347300,5,,5,,91,,5,,89,,4,,83,,5,,87,,82,,333,,28,,
347306,4,,4,,88,,3,,85,,4,,85,,4,,86,,78,,421,,25,,
347307,3,,3,,84,,3,,80,,3,,79,,3,,80,,68,,99,,19,,
347308,5,,5,,93,,5,,90,,5,,88,,5,,92,,87,,86,,17,,
347309,5,,5,,92,,5,,91,,4,,85,,5,,91,,87,,324,,31,,
347310,4,,4,,89,,5,,87,,2,,75,,4,,85,,73,,80,,29,,
347317,4,,4,,90,,4,,88,,4,,85,,4,,84,,81,,318,,23,,
347318,3,,3,,87,,3,,84,,3,,81,,4,,84,,79,,273,,20,,
347325,4,,4,,90,,4,,88,,4,,85,,5,,88,,84,,323,,26,,
347326,5,,4,,90,,5,,89,,4,,86,,5,,88,,85,,248,,27,,
347328,5,,5,,93,,5,,91,,5,,91,,5,,92,,89,,445,,28,,
347329,5,,5,,91,,5,,87,,5,,90,,5,,89,,83,,387,,28,,
347330,4,,4,,89,,4,,87,,4,,84,,4,,86,,85,,363,,30,,
347331,4,,4,,89,,4,,88,,4,,86,,4,,85,,81,,285,,26,,
347333,4,,4,,88,,4,,87,,4,,84,,4,,84,,79,,351,,27,,
347334,5,,5,,93,,5,,91,,5,,87,,5,,88,,88,,95,,18,,
347335,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
357002,5,11,5,11,96,11,5,11,93,11,5,11,96,11,5,11,91,11,88,11,48,11,26,11,11
357004,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
357007,5,11,5,11,94,11,5,11,93,11,5,11,93,11,5,11,90,11,90,11,62,11,31,11,11
357013,5,11,4,11,89,11,5,11,94,11,5,11,90,11,4,11,84,11,78,11,51,11,36,11,11
357014,5,,4,,88,,4,,86,,5,,91,,5,,86,,84,,167,,41,,
357016,4,,4,,88,,4,,87,,5,,87,,4,,82,,80,,129,,41,,
357021,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
357029,4,,4,,88,,4,,84,,4,,84,,4,,85,,85,,111,,28,,
357030,Not Available,11,Not Available,11,85,11,Not Available,11,86,11,Not Available,11,79,11,Not Available,11,79,11,80,11,31,11,27,11,11
357035,5,,5,,93,,5,,89,,5,,88,,4,,86,,83,,118,,43,,
357037,4,,4,,87,,4,,85,,4,,83,,4,,86,,80,,529,,32,,
357040,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
357044,4,,5,,93,,5,,91,,2,,75,,5,,93,,92,,78,,37,,
357059,Not Available,11,Not Available,11,80,11,Not Available,11,82,11,Not Available,11,72,11,Not Available,11,86,11,72,11,31,11,40,11,11
357302,3,,4,,86,,4,,86,,2,,76,,3,,78,,74,,200,,43,,
357304,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
357305,Not Available,11,Not Available,11,79,11,Not Available,11,70,11,Not Available,11,80,11,Not Available,11,93,11,74,11,21,11,13,11,11
367001,5,,4,,89,,5,,91,,5,,88,,5,,87,,89,,83,,50,,
367010,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367011,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367016,5,10,5,10,91,10,5,10,89,10,4,10,85,10,5,10,87,10,78,10,142,10,27,10,10
367021,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367022,3,,3,,85,,3,,80,,4,,83,,3,,81,,74,,428,,21,,
367034,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367055,4,,4,,87,,3,,85,,2,,78,,5,,87,,78,,115,,41,,
367061,4,,4,,87,,5,,89,,4,,85,,4,,81,,75,,134,,35,,
367067,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367069,5,,5,,91,,4,,87,,5,,87,,5,,88,,82,,224,,44,,
367070,5,,5,,93,,5,,88,,5,,89,,5,,90,,89,,90,,42,,
367076,5,,5,,92,,5,,90,,5,,89,,5,,91,,86,,148,,53,,
367079,5,,5,,94,,5,,91,,5,,92,,5,,96,,90,,94,,31,,
367087,4,,4,,88,,4,,87,,2,,77,,4,,86,,81,,240,,25,,
367089,4,,4,,89,,5,,87,,2,,78,,4,,85,,84,,107,,45,,
367097,2,11,2,11,85,11,2,11,77,11,2,11,74,11,2,11,79,11,64,11,64,11,25,11,11
367102,5,,5,,91,,5,,89,,5,,89,,5,,88,,84,,432,,32,,
367103,Not Available,11,Not Available,11,92,11,Not Available,11,92,11,Not Available,11,86,11,Not Available,11,93,11,87,11,30,11,34,11,11
367114,4,,4,,88,,4,,88,,4,,84,,4,,86,,80,,335,,31,,
367117,4,,4,,90,,4,,88,,4,,84,,5,,87,,81,,280,,21,,
367128,5,,5,,91,,5,,89,,4,,86,,5,,93,,83,,466,,34,,
367131,4,,4,,86,,4,,86,,4,,85,,5,,88,,80,,300,,42,,
367134,4,,5,,90,,4,,86,,4,,86,,4,,84,,79,,121,,36,,
367135,5,,5,,93,,5,,92,,5,,93,,5,,88,,82,,248,,34,,
367137,4,,4,,89,,4,,87,,4,,84,,4,,84,,79,,394,,31,,
367140,Not Available,11,Not Available,11,99,11,Not Available,11,91,11,Not Available,11,96,11,Not Available,11,96,11,84,11,31,11,46,11,11
367141,5,11,5,11,93,11,5,11,91,11,3,11,82,11,5,11,94,11,85,11,53,11,32,11,11
367142,5,,5,,91,,5,,88,,4,,86,,5,,89,,83,,825,,32,,
367145,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367146,5,,5,,91,,5,,91,,5,,90,,5,,87,,82,,108,,34,,
367158,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367159,5,,5,,92,,5,,89,,5,,87,,4,,83,,80,,96,,29,,
367160,4,,4,,89,,4,,85,,4,,84,,4,,82,,80,,722,,28,,
367161,4,,4,,88,,3,,83,,3,,82,,4,,83,,77,,108,,39,,
367162,5,,5,,96,,5,,90,,5,,90,,5,,90,,84,,74,,27,,
367163,2,,2,,81,,2,,76,,2,,74,,2,,78,,65,,75,,35,,
367164,4,,4,,85,,4,,85,,2,,73,,4,,79,,76,,85,,21,,
367165,Not Available,11,Not Available,11,92,11,Not Available,11,84,11,Not Available,11,64,11,Not Available,11,61,11,70,11,15,11,32,11,11
367166,Not Available,11,Not Available,11,86,11,Not Available,11,79,11,Not Available,11,73,11,Not Available,11,82,11,70,11,27,11,26,11,11
367167,4,,5,,90,,4,,88,,4,,85,,4,,88,,84,,334,,31,,
367173,4,,4,,88,,5,,88,,4,,84,,4,,85,,80,,261,,23,,
367190,4,11,4,11,87,11,4,11,85,11,2,11,73,11,5,11,91,11,76,11,62,11,26,11,11
367193,Not Available,9,Not Available,9,96,9,Not Available,9,83,9,Not Available,9,62,9,Not Available,9,100,9,54,9,4,9,22,9,9
367200,5,,5,,93,,5,,91,,4,,84,,5,,92,,90,,167,,29,,
367204,4,,4,,90,,4,,87,,4,,85,,3,,85,,76,,128,,31,,
367208,4,,4,,87,,4,,86,,5,,88,,4,,84,,74,,197,,28,,
367218,4,,4,,88,,5,,87,,4,,85,,4,,84,,76,,296,,26,,
367238,5,,4,,89,,5,,89,,4,,83,,5,,86,,83,,153,,33,,
367240,4,,4,,89,,5,,90,,2,,73,,4,,87,,83,,130,,33,,
367249,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367251,4,,5,,90,,5,,89,,3,,82,,4,,86,,81,,230,,34,,
367253,4,,4,,89,,5,,88,,4,,84,,4,,88,,79,,489,,34,,
367254,4,11,3,11,86,11,4,11,82,11,5,11,89,11,4,11,86,11,86,11,53,11,32,11,11
367256,4,,4,,89,,4,,86,,4,,83,,4,,83,,79,,394,,32,,
367260,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367261,4,,4,,88,,4,,85,,3,,82,,4,,86,,75,,472,,32,,
367262,2,11,2,11,80,11,1,11,71,11,2,11,71,11,1,11,60,11,53,11,69,11,26,11,11
367269,4,,3,,87,,4,,83,,3,,79,,4,,86,,77,,142,,30,,
367270,4,,4,,89,,4,,86,,3,,80,,5,,86,,80,,144,,30,,
367271,4,,4,,90,,4,,88,,2,,77,,4,,86,,81,,217,,25,,
367273,4,,4,,89,,4,,86,,4,,84,,5,,88,,79,,786,,34,,
367290,4,,4,,89,,4,,85,,5,,87,,4,,84,,76,,598,,33,,
367296,3,,3,,84,,2,,78,,3,,81,,4,,80,,70,,177,,26,,
367323,3,,2,,81,,2,,76,,3,,81,,3,,80,,65,,291,,29,,
367324,4,,4,,89,,4,,85,,3,,82,,4,,84,,79,,274,,36,,
367325,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367329,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367334,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367335,Not Available,11,Not Available,11,84,11,Not Available,11,83,11,Not Available,11,86,11,Not Available,11,84,11,48,11,23,11,23,11,11
367336,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367337,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367400,5,,5,,93,,5,,89,,5,,89,,5,,90,,84,,224,,39,,
367401,5,,5,,92,,5,,91,,5,,87,,5,,90,,81,,276,,30,,
367403,3,,3,,85,,3,,83,,2,,73,,3,,82,,78,,342,,35,,
367404,5,,5,,90,,4,,87,,5,,89,,5,,88,,87,,186,,29,,
367405,5,,4,,88,,5,,89,,5,,92,,4,,89,,85,,96,,41,,
367415,4,,4,,89,,5,,89,,4,,84,,4,,89,,76,,84,,44,,
367417,4,,4,,87,,4,,85,,4,,83,,4,,81,,80,,386,,32,,
367423,5,,5,,91,,5,,88,,5,,88,,5,,88,,82,,505,,39,,
367424,4,,4,,88,,4,,85,,3,,80,,4,,82,,75,,2735,,30,,
367426,5,,5,,91,,5,,89,,5,,87,,5,,92,,83,,161,,39,,
367428,Not Available,11,Not Available,11,84,11,Not Available,11,81,11,Not Available,11,95,11,Not Available,11,76,11,62,11,14,11,22,11,11
367429,4,,4,,85,,4,,85,,3,,81,,3,,78,,72,,123,,38,,
367433,4,,4,,90,,4,,88,,4,,86,,5,,87,,82,,264,,36,,
367440,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367442,5,,5,,94,,5,,91,,5,,87,,5,,89,,84,,160,,33,,
367444,5,,5,,90,,5,,91,,4,,86,,5,,88,,87,,232,,36,,
367447,4,,4,,88,,5,,88,,4,,85,,4,,87,,80,,322,,28,,
367448,3,,3,,85,,3,,82,,2,,75,,3,,75,,67,,144,,22,,
367455,5,,4,,89,,5,,89,,5,,89,,4,,81,,73,,90,,25,,
367462,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367471,3,,3,,87,,1,,79,,2,,77,,4,,87,,91,,91,,23,,
367475,5,,5,,93,,5,,94,,5,,89,,5,,93,,92,,107,,39,,
367481,Not Available,11,Not Available,11,69,11,Not Available,11,76,11,Not Available,11,85,11,Not Available,11,66,11,42,11,30,11,21,11,11
367489,3,11,3,11,85,11,2,11,81,11,3,11,79,11,3,11,80,11,74,11,55,11,15,11,11
367496,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367500,5,,5,,91,,5,,90,,4,,84,,5,,87,,82,,332,,38,,
367503,Not Available,11,Not Available,11,89,11,Not Available,11,90,11,Not Available,11,87,11,Not Available,11,77,11,71,11,34,11,16,11,11
367505,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367510,4,,4,,89,,4,,85,,4,,84,,5,,93,,76,,128,,30,,
367518,4,,4,,90,,4,,87,,3,,82,,4,,84,,79,,444,,25,,
367519,2,,2,,82,,1,,72,,2,,78,,2,,75,,64,,88,,31,,
367523,4,,4,,88,,4,,86,,4,,83,,3,,82,,81,,134,,39,,
367529,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367530,5,,4,,89,,5,,88,,4,,86,,5,,86,,77,,325,,29,,
367533,5,,4,,90,,4,,85,,5,,87,,5,,90,,85,,211,,27,,
367535,5,11,5,11,93,11,5,11,90,11,4,11,86,11,5,11,91,11,86,11,64,11,38,11,11
367542,Not Available,9,Not Available,9,96,9,Not Available,9,96,9,Not Available,9,89,9,Not Available,9,96,9,95,9,10,9,23,9,9
367546,3,,3,,86,,3,,80,,2,,72,,2,,79,,68,,106,,28,,
367547,3,,3,,86,,3,,82,,3,,79,,2,,76,,70,,242,,27,,
367548,3,,3,,84,,3,,83,,3,,82,,3,,76,,66,,353,,19,,
367549,4,,4,,90,,4,,86,,3,,81,,4,,84,,71,,76,,22,,
367551,4,,3,,86,,3,,84,,4,,84,,4,,81,,73,,325,,30,,
367553,3,,4,,88,,3,,83,,2,,77,,4,,86,,77,,105,,25,,
367556,Not Available,11,Not Available,11,98,11,Not Available,11,95,11,Not Available,11,95,11,Not Available,11,99,11,94,11,39,11,37,11,11
367557,4,,4,,87,,4,,85,,3,,81,,3,,77,,72,,142,,20,,
367562,5,,5,,91,,5,,89,,5,,88,,4,,87,,81,,158,,32,,
367564,3,,4,,87,,3,,82,,2,,76,,3,,81,,72,,299,,35,,
367566,3,,3,,84,,3,,84,,2,,74,,3,,78,,73,,111,,31,,
367567,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367569,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367570,3,,3,,83,,3,,81,,3,,79,,3,,77,,74,,93,,30,,
367571,4,,4,,89,,4,,89,,4,,85,,4,,85,,73,,83,,25,,
367573,3,,3,,84,,3,,81,,3,,80,,3,,79,,68,,157,,22,,
367576,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367582,3,,2,,84,,3,,82,,3,,80,,2,,75,,56,,114,,30,,
367587,2,,2,,80,,2,,77,,2,,78,,2,,74,,60,,283,,31,,
367590,4,,4,,87,,4,,87,,3,,82,,4,,87,,80,,94,,30,,
367591,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367592,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367593,4,,4,,90,,3,,88,,3,,80,,5,,87,,81,,72,,31,,
367594,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367606,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367607,5,,5,,91,,4,,86,,5,,89,,5,,90,,88,,131,,36,,
367608,Not Available,11,Not Available,11,94,11,Not Available,11,93,11,Not Available,11,75,11,Not Available,11,87,11,75,11,12,11,12,11,11
367611,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367612,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367614,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367615,4,,4,,90,,4,,88,,4,,85,,5,,87,,81,,3057,,29,,
367617,4,,4,,87,,4,,86,,4,,83,,4,,82,,76,,364,,30,,
367624,4,,4,,89,,5,,89,,3,,82,,4,,87,,85,,178,,34,,
367625,Not Available,11,Not Available,11,95,11,Not Available,11,82,11,Not Available,11,75,11,Not Available,11,89,11,85,11,21,11,19,11,11
367628,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367630,5,11,5,11,92,11,5,11,86,11,5,11,88,11,4,11,89,11,84,11,66,11,37,11,11
367633,Not Available,11,Not Available,11,89,11,Not Available,11,90,11,Not Available,11,79,11,Not Available,11,82,11,70,11,38,11,23,11,11
367634,4,,4,,88,,4,,86,,4,,85,,4,,84,,76,,169,,26,,
367639,4,11,3,11,87,11,4,11,85,11,5,11,87,11,4,11,86,11,82,11,66,11,28,11,11
367643,Not Available,11,Not Available,11,88,11,Not Available,11,83,11,Not Available,11,73,11,Not Available,11,89,11,82,11,34,11,32,11,11
367645,5,,5,,91,,5,,89,,4,,86,,4,,83,,78,,117,,36,,
367650,Not Available,11,Not Available,11,84,11,Not Available,11,81,11,Not Available,11,83,11,Not Available,11,92,11,74,11,18,11,47,11,11
367653,5,,5,,93,,5,,92,,5,,89,,5,,89,,88,,120,,26,,
367658,3,11,3,11,85,11,2,11,79,11,3,11,82,11,2,11,65,11,68,11,47,11,33,11,11
367662,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367668,Not Available,11,Not Available,11,88,11,Not Available,11,87,11,Not Available,11,88,11,Not Available,11,76,11,81,11,12,11,16,11,11
367671,Not Available,9,Not Available,9,99,9,Not Available,9,89,9,Not Available,9,86,9,Not Available,9,95,9,79,9,9,9,39,9,9
367680,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367681,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367684,Not Available,11,Not Available,11,88,11,Not Available,11,86,11,Not Available,11,79,11,Not Available,11,81,11,63,11,38,11,25,11,11
367691,5,,5,,93,,5,,90,,4,,84,,5,,93,,88,,743,,34,,
367696,4,"10,11",4,"10,11",88,"10,11",2,"10,11",85,"10,11",4,"10,11",84,"10,11",5,"10,11",91,"10,11",62,"10,11",43,"10,11",24,"10,11","10,11"
367711,3,,4,,89,,3,,82,,3,,82,,3,,81,,70,,110,,16,,
367713,4,,3,,87,,3,,84,,4,,85,,4,,84,,75,,930,,29,,
367720,Not Available,11,Not Available,11,99,11,Not Available,11,96,11,Not Available,11,92,11,Not Available,11,99,11,96,11,25,11,39,11,11
367723,5,,4,,89,,5,,89,,5,,88,,4,,86,,81,,137,,35,,
367725,4,,4,,90,,4,,85,,5,,89,,3,,81,,75,,156,,32,,
367730,4,,4,,87,,4,,87,,5,,87,,4,,83,,80,,186,,33,,
367731,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367733,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367734,4,,4,,89,,3,,85,,4,,83,,4,,86,,76,,150,,28,,
367736,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
367741,4,,4,,89,,4,,84,,4,,85,,5,,89,,77,,234,,39,,
